date,Deutschland,Großbritannien,Albanien,Andorra,Anguilla,Argentinien,Aserbaidschan,Australien,Bahrain,Bangladesch,Barbados,Belarus,Belgien,Bermuda,Brasilien,Bulgarien,Cayman Islands,Chile,Costa Rica,Dänemark,Ecuador,Estland,Falkland Inseln,Finnland,Frankreich,Gibraltar,Griechenland,Grönland,Guernsey,Guyana,Indien,Indonesien,Iran,Irland,Island,Isle of Man,Israel,Italien,Japan,Jersey,Kambodscha,Kanada,Katar,Kolumbien,Kroatien,Kuwait,Lettland,Litauen,Luxemburg,Malta,Marokko,Mauritius,Mexiko,Neuseeland,Norwegen,Oman,Österreich,Pakistan,Peru,Polen,Portugal,Rumänien,Russland,Schweden,Schweiz,Serbien,Seychellen,Simbabwe,Singapur,Slowakei,Slowenien,Spanien,Südafrika,Trinidad Tobago,Tschechien,Türkei,Turks-und Caicosinseln,Ungarn,USA,Vereinigte Arabische Emirate,Zypern
2020-12-27,0.3,14.8,,,,,,,31.5,,,,,,,,,0.5,,1.1,,,,,0,,,,,,,,,,,,45.1,0.1,,,,,,,,,,0.9,,,,,0.1,,0,,,,,,0.5,,,0.2,,,,,,,2.8,,,,0.1,,,,,,
2020-12-28,0.5,,,,,,,,32.3,,,0,0,,,,,0.5,,1.5,,,,,0,,0,,,,,,,,,,60.8,0.1,,,,,,,,,0.3,1.9,,,,,0.1,,0.1,0.3,,,,0.1,0.8,0.1,,,,,,,,,3.6,,,,0.3,,,,6.4,,
2020-12-29,1,,,,,,,,32.9,,,,0,,,0.2,,0.5,,3,,,,,0,,0.1,,,,,,,,,,79,0.1,,,,,,,,,0.8,3,,,,,0.1,,0.3,0.7,,,,0.2,2,0.1,,,,,,,,,4.1,,,,0.7,,,,,,
2020-12-30,1.7,,,,,,,,33.7,,,,0.1,,,0.7,,0.5,,5,,,,,0,,0.2,,,,,,,,14.3,,96.8,0.2,,,,,,,1.9,,1.2,3.6,1.9,,,,0.2,,0.4,1,,,,1,3,0.3,,,,,,,,,4.3,,,,1,,,,8.4,,
2020-12-31,2.2,,,,,,,,34.5,,,,0.1,,,,,0.5,,6,,,,,0,,0.2,,,,,,,,,,115.2,0.6,,,,,,,,,,3.6,,,,,,,0.4,1.3,,,,1.3,3.2,0.5,,,,,,,,,5.2,,,,1.1,,,,,,
2021-01-01,2.5,,,,,,,,34.9,,,,0.1,,,0.7,,0.5,,6.5,,,,,0,,0.2,,,,,,,,,,123.5,0.8,,,,,,,,,,,,,,,,,0.4,,,,,,3.2,0.6,,,,,,,,,5.2,,,,1.1,,,,,,
2021-01-02,3.1,,,,,,,,35.3,,,,,,,,,0.5,,8,,,,,0,,0.3,,,,,,,,,,131.9,1.5,,,,2.1,,,,,,,,,,,,,0.4,1.4,,,,1.3,3.2,0.7,5.5,,,,,,,,5.4,,,,1.2,,,,12.6,,
2021-01-03,3.4,20.3,,,,,,,35.7,,,,,,,,,0.5,,9,,,,,0,,0.4,,,,,,,,,,149.4,2,,,,,,,3,,,,,,,,,,0.4,1.7,,,,1.3,3.2,0.7,,1.4,,,,,,,5.7,,,,1.3,,,,,,
2021-01-04,4,,,,,,,,36.2,,,,,,,,,0.5,,9.4,,,,,0,,1,,,,,,,,,,167,3.2,,,,,,,,,1.6,,,,,,0.3,,0.4,2.1,,,,2.4,3.3,1.3,,,,,,,,0,6.2,1.8,,,1.7,,,,13.6,,
2021-01-05,4.6,,,,,,,,37.5,,,,0.2,,,0.8,,0.5,,11.8,,,,,0.1,,1.6,,,,,,,,,,181.7,4.5,,,,,,,3.4,,2,3.8,,,,,0.4,,1,2.5,,,,3.7,4.6,2.2,,,,,,,,0.1,7.4,3,,,2.1,,,,14.5,,
2021-01-06,5.3,,,,,,,,40.2,,,,0.5,,,1.1,,0.6,,15.2,,,,,0.3,,2,,,,,,,,,,193.8,5.6,,,,,,,,,2.4,5.1,,,,,0.4,,2.7,2.7,,,,4.2,6,3,,,,,,,,1.2,9.8,,,,2.6,,,,15.9,,4.5
2021-01-07,6,,,,,,,,42.5,,,,1.2,,,1.6,,0.6,,18.2,,,,,0.6,,2.5,,,,,,,,,,207.3,7.1,,,,,,,5,,2.9,6.6,,,,,0.5,,3.9,2.9,,,,5,7,4,,,,,,,,2.5,12.4,4.4,,,3.4,,,,17.7,,
2021-01-08,6.7,,,,,,,,46,,,,2,,,1.9,,0.6,,19.7,,,,,1.1,,3.4,,,,,,,,,,215.1,8.7,,,,,,,6.1,,3.4,8.5,,,,,0.5,,4.2,2.9,,,,5.3,7.3,4.8,,,,1,,,,3.8,13.9,5.9,,,4.3,,,,20,,
2021-01-09,7.4,,,,,,,,49.5,,,,2.3,,,1.9,,0.6,,20,,,,,1.3,,3.9,,,,,,,,,,220.3,10.1,,,,5.6,,,7.3,,3.5,8.6,,,,,0.6,,4.2,2.9,,,,5.3,7.3,5.3,,,,,0,,,4.1,14,,,,4.5,,,,,,
2021-01-10,7.8,33.7,0,,,,,,52.5,,,,2.3,0,,,,0.6,,20.1,,,,,1.4,12.5,4.3,,,,,,,,,,224.7,11.1,,,,,,,,,3.7,8.6,,,,,0.6,,4.3,3.1,0.8,,,5.4,7.3,5.6,,4.7,,1.4,,,,4.6,14,,,,4.6,,0,,,84.6,6.9
2021-01-11,8.6,35.8,,,,,,,54.4,,,,2.8,,,2,,0.6,,20.2,,,,,1.8,42.9,4.8,,,,,,,,,,227.2,12.4,,,,,,,,,4.4,9.4,3.1,,,,0.7,,4.3,3.6,1.3,,,6.8,7.4,6.5,,,,,,,0.6,5.4,14.3,8.7,,,5.6,,,,26.9,,
2021-01-12,9.5,38.9,0,,,,,,57.5,,,,4.1,,,2.3,,0.6,,20.3,,,,,2.6,74.2,5.4,,,,,,,,,,230,13.8,,,,,,,,,5.3,10.2,3.8,,,,0.7,,5.1,4,1.5,,,8.2,8.4,7.3,,,,,,,1.1,7.3,15.1,10.4,,,6.8,,,,27.9,,
2021-01-13,10.7,43,0.1,,,,,,59.6,,,,6,,,2.5,,0.6,,22.5,,,,,3.5,,6.2,,,,,,,,,,236,15.3,,,,,,,8.4,,6.1,12.5,4.6,,,,1.5,,6.9,4.5,2.2,,,9.8,9.8,8,6.9,,,,20.3,,,8.6,17.4,12.4,,,8.1,,,,,,
2021-01-14,11.9,47.7,0.1,,,,,,64.4,,,,7.9,,,2.5,,0.7,,25.6,,,,,4.5,,6.8,,,,,,,,,,242.6,16.8,,,,,,,9.3,,7.1,15.6,5.2,,,,2.6,,8.5,4.7,3.3,,,10.8,10.9,8.7,,,,2.7,,,,9.9,20.6,14.5,,,9.5,,,,29,,
2021-01-15,13,52.7,0.1,,,,,,72.2,,,,9.9,,,2.6,,0.7,4.9,28.2,,,,,5.4,152.4,7.2,,,,0,,,,,,246.2,18.3,,,,,,,10.1,,8,18.3,,,,,3.2,,9.3,,4.4,,,11.5,11.6,9.5,,,,,40.7,,,11.4,22.9,16.4,,,10.8,,,,31.7,,
2021-01-16,13.7,57,0.1,,,,,,80.6,,,,10.3,26.7,0,2.6,,0.7,,29,,,,,5.6,173.5,7.7,,,,0.1,,,,,,249.6,19.4,,,,14.9,,,11.2,,8.4,18.7,,,,,3.6,,9.4,4.9,5.6,,,12.1,11.8,10.2,,,,,71.2,,,11.6,23,,,,11.1,,,,,,11.7
2021-01-17,14.1,59.8,0.1,,,,0,,83.2,,,,10.6,,0,2.7,,0.7,,29.5,,,,,5.8,173.5,,,,,0.2,,,,,,257.5,19.9,,,,,,,,,8.5,18.7,6,26.5,,,3.6,,9.5,4.9,6.2,,,12.4,11.8,10.6,,11.8,,,,,,11.6,23,,,,11.3,,,,,,
2021-01-18,14.7,62.8,0.2,,,,,,83.9,,,,11.5,,0,2.7,,1.3,5.7,30.2,,,,,6.9,191,8.2,,,,0.3,,,,,,265.5,20.5,,,,,,,,,8.6,19.8,7.3,29.4,,,3.8,,9.7,4.9,6.7,,,13,12.1,12.1,,,,,,,,13.1,23.1,19.2,,,12.5,,,13.4,,,
2021-01-19,15.6,67.9,0.2,,,,,,84.4,,,,13.2,,0.1,2.7,,2.3,,30.6,,,,,8.6,208.3,9,,,,0.5,,,,,,273.9,21,,,,,,,13.2,,8.6,20.6,8.5,32.3,,,3.8,,10.6,4.9,7.8,,,14,13.6,13.9,,,,,111.6,,,14.5,23.3,20.5,,,13.6,,,13.5,40.7,,
2021-01-20,16.5,73.3,0.2,,,5.4,,,84.7,,,,14.9,,0.1,2.9,,2.8,,30.8,,,,,10.5,208.3,10.4,,,,0.6,,,,16.8,,282.7,21.4,,,,,,,,,8.6,21.2,9.9,34.7,,,3.8,,12.4,4.9,9.6,,,15,15.6,15.7,,,,6.6,133.9,,,15.8,23.9,21.6,,,14.9,,,13.9,42.7,,
2021-01-21,17.2,79.3,0.2,,,5.5,,,,,,,17.5,,0.6,3,,3,,31.1,0,,,,12.5,235.9,11.9,,,,0.8,,,,,,290.8,21.7,,,,,,,,,8.8,21.6,11,37.4,,,4.1,,14,,11.7,,,16,18.3,17.6,,,,12.5,,,,17,24.5,22.5,,,16.3,,,14.4,45,,
2021-01-22,18.2,86.3,,,,5.6,,,,,,,20,,1.2,3.1,,3,,31.2,0,,,,14.1,263.5,13.6,,,,1,,,,,,295.1,21.9,,,,,,,,,8.9,21.7,,40.2,,,4.6,,14.6,,13.5,,,16.9,20.7,19.5,,,,17.6,171.8,,10.3,18.2,25.1,23.5,,,17.7,,,14.8,48.6,,
2021-01-23,18.8,93.6,,,,5.7,,,,,,,20.7,47.1,2.5,3.1,,3,,31.4,,,,,14.7,291.1,15.1,,,,1.1,,,,,,299.7,22,,,,20.5,,,,,9,21.7,,42.9,,,4.6,,14.7,4.9,14.7,,,17.3,21.7,21.1,,,,24,186.6,,,18.3,25.2,,,,18,,,15,52,,17.5
2021-01-24,19.2,96.8,,,,5.8,,,,,,,20.9,,2.8,3.1,,3,,31.5,,,,,14.8,306.9,,,91.7,,1.2,,,,,,307.7,22,,82.5,,,,,,,,,,42.5,,,4.7,,14.7,4.9,15,,,17.4,22.1,22.5,,21.7,,32,,,,18.3,25.2,24.6,,,18.2,,,15.2,55.3,,
2021-01-25,19.9,101,,7.5,,5.8,,,,,,,21.8,,3.3,3.2,,3,9,31.5,,,,19.1,15.8,312.8,16.5,,,,1.5,,,,30.6,45.8,317,22.1,,,,,,,14.1,,9,21.7,11.7,44.6,,0,4.8,,14.8,4.9,15.2,,,18.5,,23.9,,,,37.7,202.2,,,19.5,25.2,25,,,19.1,,,15.5,57.6,,
2021-01-26,20.6,105.5,,,,5.9,,,97.5,0,,,22.7,,4,3.4,,3,,31.5,,,,19.9,17.2,328.7,17.7,,,,1.5,,,,,49.9,326.1,22.2,,,,,,,,,9,22.6,13.2,46.8,,,4.8,,15.2,4.9,16.3,,,20.7,,25.4,,,,47,231,,,20.8,25.3,25.3,,,20.1,,,15.8,59.5,,
2021-01-27,21.2,110.1,,,,6,,,98.6,0,,,23.8,,5.3,3.6,,3,,31.6,0.2,,,21.2,18.6,328.7,19,45.5,,,1.7,,,29.9,31.4,53.5,335,22.3,,,,,,,,,9,24,14.5,48.5,,,4.8,,17.3,4.9,17.1,,,22.7,,26.7,,,,53.2,260.2,,19.3,22,25.4,25.7,,,20.9,,,16.7,61.9,,
2021-01-28,21.8,116.2,,,,6.1,,,99.6,0,,,25.1,,6.8,3.9,,3,,31.6,,19.2,,23.1,20.2,366,20.2,,,,2.1,1.3,,,,61.7,344.2,22.3,,,,,,,,,9,25.3,15.8,50.2,,,4.9,,19.3,,18.2,,,24.3,,27.8,,,,59,292.6,,,23.5,25.6,26.1,,,21.6,,,18.1,64.9,,
2021-01-29,22.5,123.4,,,,6.2,,,99.8,,,,26.1,,7.8,4,,3,,31.8,,19.9,,24.8,21.4,381.9,21.2,,,,2.5,1.5,,,,68.6,348.4,22.4,,,,,,,,,9.1,26.4,,51.8,,,4.9,,20,,19.3,,,25,,28.8,,,,63.3,313.8,,,25.2,25.9,,,,22.1,,,20.5,68.3,,
2021-01-30,22.9,132.2,,,,6.2,,,100.2,,,,26.2,78.6,9.1,4,,3,,32,,20.8,,26.1,21.8,381.9,22.3,,,,2.7,1.8,,,,,352.3,22.5,,,,22.7,,,,,9.1,26.5,,53,,,4.9,,20,,20.4,,,25.3,26,29.7,,,,64.3,,,,25.5,25.9,,,,22.2,,,23,72,,22.4
2021-01-31,23.3,136.9,,,,,,,100.8,,,,26.3,,9.6,4,,3,,32.2,,21,,,21.9,382.5,,,,,2.7,1.8,,30.5,,,360.8,22.5,,115.8,,,,,,,,26.5,17.2,53.9,,,4.9,,20,,20.6,,,25.8,26.3,30.4,,27.9,,,,,26.5,25.5,25.9,26.8,,,22.2,,,24.6,75.4,,
2021-02-01,23.9,142.1,,13.4,,6.2,,,101.6,,,,26.6,,9.9,4.2,,3,9,32.4,,21.2,,26.3,22.7,385.1,23.7,,,,2.9,2,,,,,370.3,22.6,,,,,,,14.3,,9.1,26.8,18.1,55.5,,0.2,4.9,,20.1,,20.7,,,26.4,26.5,31.1,,,,,356.7,,,27.1,25.9,26.8,,,22.6,,,25.2,77.8,,
2021-02-02,24.6,147.6,0.2,,,,,,102.3,,,,27.5,,10.8,4.4,,3.7,,32.7,,21.8,,26.3,23.8,388,25.1,,,,3,2.2,,,,80.9,378.3,22.7,,,,,,,,,9.2,27.4,19.1,57.4,,,4.9,,21.2,,21.1,0,,27.8,26.6,31.7,,,,72.9,369,,29.9,28.8,25.9,27.1,,,23,,,25.6,79.1,,
2021-02-03,25.3,154.5,,,,6.3,,,102.9,,,,28.3,,11.9,4.8,,12.6,,33,,22.7,,27.1,24.9,390.8,26.5,,,,3.2,2.4,,,35.5,86.9,385.3,22.9,,,,,,,14.4,,9.3,28,20.1,59.4,,,4.9,,25.8,,21.6,,,29.5,27,32.2,,,,75.5,377.1,,,30.5,26,27.4,,,23.4,,,25.8,81.2,,
2021-02-04,26,161.6,,,0,6.6,,,104.2,,,,29,,14.5,5.3,118.9,21.6,,33.2,0.4,24,,28.8,26.1,393.2,27.9,,,,3.6,2.6,,,,94.4,393.6,23.1,,,,,,,14.5,,9.4,28.6,21.2,61.2,,,4.9,,30.5,,22.1,,,30.9,27.4,32.7,,,,77.4,,,,32.1,26.3,27.9,,,23.8,,,27.4,83.4,,
2021-02-05,26.7,168.9,,,,,,,105.5,,,,29.6,,14.5,5.7,,30.4,,33.5,,25.6,,29.7,27.2,397.7,29.4,,,,3.9,2.7,,30.6,37.1,94.6,397.5,23.4,,,,,,,,,9.4,29,,63.6,,,4.9,,32.5,,22.4,,,31.5,27.9,33.2,,,,79.1,,,,33.6,26.5,,,,24.3,,,28.9,86.4,,
2021-02-06,27.3,177,,,,6.8,6.4,,107.3,,,,29.7,120.5,16,5.7,,31.9,,33.7,,26.8,,30.5,27.5,400.7,30.5,,,,4.2,2.8,,,,101.9,400,23.6,,,,23.9,,,,,9.4,29,,65.3,,,4.9,,32.6,,23.1,,,31.7,28.5,33.7,,,,,382.2,,,34,26.5,,,,24.4,,,29.6,90.5,,26
2021-02-07,27.7,181.1,,,,7.1,,,112.5,0.2,,,29.8,,16.6,5.7,,32.3,,34,,27.1,0,30.7,27.6,400.7,,,179.6,,4.2,2.9,,31.1,,106.6,406.2,23.7,,176.4,,,,,,,9.4,29,22.3,66.4,,,4.9,,32.7,,23.3,,,31.9,28.6,34.1,,32.1,,80,,,,34,26.5,28.2,,,24.5,,,29.9,94.4,,
2021-02-08,28.3,186.3,,,,7.1,,,118.2,,,,30,,16.8,6,,43.9,9.2,34.5,,27.1,,30.8,28.3,412.7,31.9,,,,4.5,3,0,31.4,37.5,111.3,413,24.2,,,,,,,,,9.6,29.1,22.5,68.5,,,5,,32.7,5.3,23.5,,,,28.6,34.4,,,,,383.5,,,35.4,26.7,28.4,,,24.8,,166.2,30.2,96.7,,
2021-02-09,29,192.4,0.2,,,7.1,,,125.1,1.1,,,30.6,134.9,17.8,6.4,134.5,56.5,,35.1,,,,31.3,29.3,424.5,33.1,,,,4.8,3.1,0,32.2,,111.4,420.6,24.7,,,0,,,,14.9,,9.7,29.5,22.7,70.7,,,5,,33.7,5.7,23.9,,0,34.1,28.8,34.7,,,,,383.6,,,36.7,26.7,28.7,,,25.3,,,30.3,98.3,,
2021-02-10,29.9,199,,16.7,,7.5,,,129.1,2.1,,,31.2,,19.1,6.8,135.6,70.7,,35.6,,29.5,,32.1,30.4,453,33.9,,,,5.1,3.5,,33.8,,111.5,428.7,25.5,,,0.1,,,,,,9.9,31.1,24,71.7,,,5,,37.9,6.1,24.3,0.1,0.3,,29.3,34.9,15.1,,,87.1,383.6,,42.7,37.9,27.9,29.5,,,25.8,,,30.5,101,,
2021-02-11,30.8,206.4,,,,8,,,132.2,,,,31.8,,20.4,7.4,,83.8,,36.6,,31.5,,33.8,31.6,458.2,34.6,,,0,5.4,3.7,,34.7,,111.6,438,26.4,,,,,,,15.8,,10.5,33.9,25.8,73.7,,,5,,41.7,6.4,24.9,,1,37.3,29.7,35.1,,,,,385.9,,,39.2,31.1,30.4,,,26.4,,,32.1,103.8,,
2021-02-12,31.7,214.4,,21,,8.1,,,136.7,,,,32.3,,21.6,7.8,139.6,95.7,,38.7,,33.5,,35.7,32.8,463,35.2,,,,5.8,,,35.5,41.3,111.6,442.5,27.3,,,,,,,,,11.1,36.2,,76.4,,,5,,43.2,6.8,25.5,,1.7,38.2,30.5,35.3,,,,104.4,,,,40.6,34.3,,,,26.9,36.4,,34.2,107.1,,
2021-02-13,32.5,221.9,,,89.4,8.2,,,142.4,4.5,,,32.4,,23.3,7.9,,97.3,,39.8,,34.7,,37.2,33.2,467.9,35.6,,,,5.8,3.9,,35.8,,119.6,445.6,28.1,,,,25.8,,,,,11.2,36.4,,78.3,,,5,,43.3,6.8,26.3,,2.1,38.7,31.4,35.5,,,,,425,,,41.3,34.6,,,,27.1,38.6,,34.7,110.8,,33.8
2021-02-14,33,225.4,,,184.1,8.2,,,146.2,5.5,,,32.4,,23.7,7.9,,97.5,,40.9,,34.8,,37.8,33.3,471.6,,,208,,,3.9,,36.5,,122.4,454.2,28.5,,224.6,,,,,,,11.2,,27.6,80.1,,,,,43.4,7.2,26.8,,2.2,39,32.2,35.7,,36.2,50.8,118.3,,,,43.3,34.7,31.9,,,27.2,39.6,,34.8,114.5,,
2021-02-15,33.8,229.4,,,,8.2,,0,147.5,6.9,15.6,,32.5,,23.9,8.1,,111.4,10.7,43.3,,34.8,435,37.9,33.9,478.9,37,,,0.8,6.1,4,,36.9,41.3,,463.6,29.4,,,,,,,16.5,32.1,11.6,37.8,28.8,82.8,,,5.1,,43.5,7.4,26.9,,2.4,39.7,32.5,36.2,,,51.3,,425.1,,,44.4,34.7,32.7,,0,27.7,42.8,,35.4,,,
2021-02-16,34.8,234.8,,,,8.3,,0,148.7,8.3,23.3,,32.8,,25,8.4,,122.9,,45.6,,35.2,,39.1,34.8,482.7,38.2,,,,6.3,4.1,,38.1,41.3,125.6,473.2,30.5,,,,,,0,,,12.3,38,31.3,85.8,,,6.4,,44.6,7.4,27.5,,3.3,40.7,33,37.2,,,51.9,,425.2,,,45.3,35.2,33.6,0,,28.5,47.2,,36.1,118.6,,
2021-02-17,35.9,241.9,0.4,,,8.3,,0,151.4,9.6,31.7,,33.3,,25.1,8.9,148.9,132.6,,47.4,0.4,36.6,,41.4,35.5,486.3,39.6,,,,6.4,4.2,0.1,40,41.6,128.8,480.3,31.6,0,,0.2,,34.7,0,,,13.2,39.6,32.9,88.7,,3,7.4,,48.5,7.7,28.2,0.2,3.6,42.6,34,38.2,,37,54.9,,425.5,,,46.3,37.5,35,,,29.4,53.1,,37.8,120.4,,
2021-02-18,37,248.6,0.8,,,8.7,,0,154.8,11.2,40,2.2,34,,25.8,9.4,,140.7,,49.3,,39.4,,44,36.5,496.4,41.3,,,,6.8,4.3,,41.7,44.5,131.5,488.2,32.9,0,,,,,0.2,21.2,,14,41.9,34.9,91.7,,,,0,51.8,8,29.6,,,44.7,35.4,39.2,,38.1,55.5,,433.4,0,42.7,47,41.4,37.7,0,,30.5,59.6,,40.6,122.7,,
2021-02-19,38.1,254.1,,27.7,,9.2,,0,157.7,,50.1,,35.2,,26.5,11.2,156.4,148.1,,51.7,,43.4,,47.3,37.5,497.5,43.1,,,,7,,,43.4,45.8,146.6,492.8,34.3,0,,0.3,,,0.4,,,14.7,44.5,,95.6,63.9,,9,0,53.6,8.4,30.8,,4.3,46.1,38.1,40.1,,39.4,55.9,,441.9,,,48.1,44.3,,0.1,,31.5,63.8,,44.2,125.5,,
2021-02-20,39,259,,,,9.9,,0,159.7,12.6,55.1,,35.4,,27.1,11.7,160.1,148.6,,53.5,,46.2,,49.9,37.8,497.5,44.7,,,,7.2,4.5,,44.5,,146.6,496.4,35.4,,,,,,0.7,,,15.1,44.8,,97.7,66.3,,9.4,0,53.7,8.5,32,,4.9,46.8,40.6,41,,,56,,441.9,,,49.3,45.5,,0.2,,31.7,65.2,,46.1,128,,42.9
2021-02-21,39.7,261.1,,,,10.1,,0,161.6,,57.6,,35.5,,27.4,13.3,,148.7,,55.4,,46.7,,52,37.8,529.1,44.9,,,,7.3,,,,,150.1,505.6,36.1,,,,,,0.8,,,15.5,,37.2,99.4,,,9.6,,53.7,8.9,33.1,0.3,5,47.2,42.1,41.7,,,57.9,,,,,50.4,45.5,40.5,0.3,,31.8,65.4,,46.9,130.5,,
2021-02-22,40.8,263.9,,,,10.2,,0,163.5,14,66.4,,35.9,,27.6,14.8,,154.3,11.2,57.7,,47.1,,,38.4,561,46.7,,,2.4,7.5,,,,50.5,153.8,515.3,37.7,0.1,,,,,0.9,26.4,,16.4,46.2,37.8,102.3,69.1,,9.9,,54.1,9.2,33.9,,5.6,48.2,42.4,42.6,,,,,447.2,0.1,,51.4,45.7,41.9,0.4,0.3,32.7,68,,47.3,132,,
2021-02-23,42,,,,,10.7,,0.1,165.4,15.1,,,,,28.2,17.1,186.3,158.9,,,,48.6,,,,,48.5,,,,7.7,4.6,,,50.9,153.8,524.2,39,,,,,,0.9,,,17.5,48.8,,,71.4,,10.4,,,9.5,34.7,,6.2,,43.6,43.5,,42.4,,,,0.3,,52.5,,,0.5,,33.7,72.4,,48.8,133.2,351.9,
2021-02-24,42.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
